News Link,Source
https://www.asomiyapratidin.in/homepage/ongc-rig-fire-news-sivsagar-11056472,Asomiya Pratidin
https://www.asomiyapratidin.in/homepage/amit-shah-to-reach-assam-on-two-day-visit-11056765,Asomiya Pratidin
https://www.asomiyapratidin.in/assam/virat-kohli-returns-to-instagram-11056884,Asomiya Pratidin
https://www.asomiyapratidin.in/homepage/batradrava-11056160,Asomiya Pratidin
https://www.asomiyapratidin.in/homepage/batadrawa-than-book-11056789,Asomiya Pratidin
https://www.asomiyapratidin.in/guwahati-news/mirza-news-11056096,Asomiya Pratidin
https://niyomiyabarta.com/assam/tragic-mother-and-son-die-in-fire-in-kanikuchi-rangia/,Niyomiya Barta
https://niyomiyabarta.com/regional/protest-in-tinsukia-demanding-speedy-justice-for-zubeen-garg/,Niyomiya Barta
https://niyomiyabarta.com/national-international/reserve-bank-of-india-rbi-has-announced-that-retail-notes-will-be-available-at-atms/,Niyomiya Barta
https://niyomiyabarta.com/sports-2/jehereul-islam-brings-pride-by-earning-isl-referee-accreditation/,Niyomiya Barta
https://niyomiyabarta.com/assam/odalguri-district-commissioner-presents-gifts-to-journalists/,Niyomiya Barta
https://niyomiyabarta.com/assam/iggl-signs-agreement-with-negdcl-aims-to-strengthen-natural-gas-infrastructure/,Niyomiya Barta